City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
491,Karratha,AU,29.64,clear sky,-20.7377,116.8463,Karratha International Hotel
495,Huarmey,PE,25.23,scattered clouds,-10.0681,-78.1522,Hostal Santa Rosa
500,Umkomaas,ZA,23.15,moderate rain,-30.2067,30.7978,Blue Ocean Dive Resort
502,Barra Dos Coqueiros,BR,28.01,few clouds,-10.9089,-37.0386,Grande Hotel
503,Pinheiro,BR,24.39,overcast clouds,-2.5214,-45.0825,Pousada Bom Clima
518,Bowen,AU,25.74,overcast clouds,-20.0167,148.2333,Whitsunday Sands Resort
519,Ciudad Bolivar,VE,31.19,overcast clouds,8.1222,-63.5497,Paoca
525,Kedougou,SN,30.01,clear sky,12.5579,-12.1743,Campement Chez Diao
531,Mbandaka,CD,24.57,few clouds,0.0487,18.2603,Hôtel Epervier
532,Ladario,BR,31.05,light rain,-19.0047,-57.6017,Hotel Gold Fish
534,Omboue,GA,26.27,scattered clouds,-1.5746,9.2618,Georges Faustin Aurat
535,Nova Olimpia,BR,28.69,broken clouds,-14.7972,-57.2881,Olímpia Hotel
537,San Cristobal,VE,25.1,scattered clouds,7.7669,-72.225,Terra Sur
538,Vina Del Mar,CL,23.04,scattered clouds,-33.0246,-71.5518,Hotel O'Higgins
542,Buchanan,LR,25.98,overcast clouds,5.8808,-10.0467,Phillipmena's Guesthouse
547,Bac Lieu,VN,24.95,few clouds,9.285,105.7244,Khách sạn Bạc Liêu
562,Port-Gentil,GA,27.98,few clouds,-0.7193,8.7815,Tara-Mé
571,The Valley,AI,27.08,scattered clouds,18.217,-63.0578,CeBlue
574,Pocone,BR,30.28,broken clouds,-16.2567,-56.6228,Andirah
576,Ribas Do Rio Pardo,BR,28.3,overcast clouds,-20.4431,-53.7592,Hotel São Francisco
578,Puerto Baquerizo Moreno,EC,28.55,moderate rain,-0.9,-89.6,Dory's House
582,Marsh Harbour,BS,23.26,broken clouds,26.5412,-77.0636,Lofty Fig Villas
584,Sabang,ID,27.24,overcast clouds,5.8933,95.3214,Sabang Hill
590,Monrovia,LR,25.87,overcast clouds,6.3005,-10.7969,Bella Casa Hotel
603,San Vicente,AR,31.93,scattered clouds,-26.6167,-54.1333,Los Lapachos
611,Saint-Paul,RE,25.06,scattered clouds,-21.0096,55.2707,Hôtel d'application
618,Maraba,BR,30.1,broken clouds,-5.3686,-49.1178,Portobelo
634,Marica,BR,25.97,overcast clouds,-22.9194,-42.8186,Pousada Vila Flor
635,Tual,ID,26.24,moderate rain,-5.6667,132.75,Suita
636,Eyl,SO,23.27,few clouds,7.9803,49.8164,فندق ايل دابي
645,Puri,IN,23.29,overcast clouds,19.8,85.85,Divine Beach Homestay
649,Sechura,PE,28.76,scattered clouds,-5.5569,-80.8222,Hospedaje Claritza
653,Singaraja,ID,25.32,overcast clouds,-8.112,115.0882,Hotel Sentral
658,Berbera,SO,24.24,clear sky,10.4396,45.0143,Al Madina Hotel
665,Pandi,PH,24.99,overcast clouds,14.8872,120.8572,La Pulilan Riverview Resort
668,Beira,MZ,25.06,light rain,-19.8436,34.8389,Hotel Savoy
677,Kununurra,AU,26.99,scattered clouds,-15.7667,128.7333,Kununurra Country Club Resort
681,Picayune,US,25.49,overcast clouds,30.5255,-89.6795,Holiday Inn Express & Suites
683,Mount Isa,AU,23.87,broken clouds,-20.7333,139.5,Ibis Styles
684,Hinatuan,PH,23.22,overcast clouds,8.3722,126.3342,Lucky Cha Hometel
686,Namatanai,PG,26.34,overcast clouds,-3.6667,152.4333,Namatanai Hotel
700,Axim,GH,26.27,overcast clouds,4.8699,-2.2405,Axim Beach Hotel
703,Inirida,CO,31.21,broken clouds,3.8653,-67.9239,Residencias El Turista del Guainia
709,Natal,BR,28.36,clear sky,-5.795,-35.2094,Natal Palace Hotel
711,Ilo,PE,25.48,clear sky,-17.6394,-71.3375,Hostal Central
713,Kismayo,SO,24.96,clear sky,-0.3582,42.5454,Kismayo Hotel
715,Jardim,BR,27.38,light rain,-21.4803,-56.1381,Hotel Uchôa
721,Soyo,AO,26.47,few clouds,-6.1349,12.3689,Hotel Maria Teres
723,Goya,AR,30.15,broken clouds,-29.14,-59.2626,Hotel Residencial Taragui
