City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
176,Pisco,PE,-13.7,-76.2167,27.03,69,0,8.75,clear sky
177,Bluff,NZ,-46.6,168.3333,9.89,63,69,10.4,broken clouds
178,Bucerias,MX,20.75,-105.3333,23.99,64,0,3.6,clear sky
179,Cacule,BR,-14.5033,-42.2222,26.93,48,44,1.96,scattered clouds
180,Mandawar,IN,29.5,78.1333,12.24,47,64,3.21,broken clouds
181,College,US,64.8569,-147.8028,-14.33,82,100,0.0,light snow
182,Nizhnevartovsk,RU,60.9344,76.5531,-18.88,84,0,4.02,clear sky
183,Viloco,BO,-16.95,-67.55,9.59,79,100,2.62,overcast clouds
184,Adre,TD,13.4667,22.2,19.6,9,81,6.39,broken clouds
185,Anchorage,US,61.2181,-149.9003,-4.48,91,100,2.06,light snow
186,Hamilton,US,39.1834,-84.5333,13.56,51,100,3.09,overcast clouds
187,Serebryanyy Bor,RU,56.8,124.8,-32.03,99,100,0.97,overcast clouds
188,Upernavik,GL,72.7868,-56.1549,-32.46,80,15,2.71,few clouds
189,Luanda,AO,-8.8368,13.2343,27.0,74,0,4.12,clear sky
190,Sibolga,ID,1.7427,98.7792,24.28,85,100,2.48,overcast clouds
191,Severo-Kurilsk,RU,50.6789,156.125,-6.17,82,96,5.79,light snow
192,Namibe,AO,-15.1961,12.1522,22.07,72,100,5.29,overcast clouds
193,Qandala,SO,11.472,49.8728,23.85,84,60,1.53,broken clouds
194,Santo Antonio Do Ica,BR,-3.1022,-67.9397,26.71,86,96,1.21,overcast clouds
195,Mao,ES,39.8885,4.2658,10.31,62,75,3.6,broken clouds
196,Kaitangata,NZ,-46.2817,169.8464,10.44,72,65,6.44,broken clouds
197,Rensvik,NO,63.1,7.8167,10.15,37,0,7.2,clear sky
198,Wajir,KE,1.7471,40.0573,30.82,30,9,4.3,clear sky
199,Mar Del Plata,AR,-38.0023,-57.5575,27.68,61,0,6.69,clear sky
200,Touros,BR,-5.1989,-35.4608,26.61,74,71,6.02,broken clouds
201,Viedma,AR,-40.8135,-62.9967,27.99,24,42,5.32,scattered clouds
202,Llanes,ES,43.4198,-4.7549,10.5,78,14,3.75,few clouds
203,Kostino,RU,58.9097,53.2691,-4.72,95,100,1.93,overcast clouds
204,Ugoofaaru,MV,5.6667,73.0,26.73,70,76,0.47,broken clouds
205,Ribeira Grande,PT,38.5167,-28.7,13.22,62,40,4.12,scattered clouds
206,Elizabeth City,US,36.2946,-76.2511,22.01,43,0,2.06,clear sky
207,Kieta,PG,-6.2167,155.6333,27.08,83,100,2.73,overcast clouds
208,Acapulco,MX,16.8634,-99.8901,29.9,62,0,4.63,clear sky
209,Samarai,PG,-10.6167,150.6667,25.67,90,100,6.0,overcast clouds
210,Khromtau,KZ,50.2503,58.4347,-19.11,97,5,3.31,clear sky
211,Nacala,MZ,-14.5428,40.6728,24.18,91,100,2.18,overcast clouds
212,Laramie,US,41.3114,-105.5911,2.21,44,0,15.95,clear sky
213,Arlit,NE,18.7369,7.3853,25.56,13,3,2.69,clear sky
214,Pevek,RU,69.7008,170.3133,-34.54,100,100,3.5,overcast clouds
215,Kaili,ID,-3.4626,120.2147,18.92,88,100,1.68,overcast clouds
216,Ville-Marie,CA,47.3335,-79.433,0.27,94,100,2.07,overcast clouds
217,Nikolskoye,RU,59.7035,30.7861,1.0,93,100,3.53,overcast clouds
218,Prainha,BR,-1.8,-53.48,27.05,82,99,1.48,light rain
219,Tura,IN,25.5198,90.2201,14.9,62,1,1.59,clear sky
220,Zhigansk,RU,66.7697,123.3711,-42.31,98,99,3.4,overcast clouds
221,Kysyl-Syr,RU,63.8986,122.7617,-48.43,100,73,1.24,broken clouds
222,Ekhabi,RU,53.5102,142.9671,-30.76,96,100,5.25,overcast clouds
223,Twentynine Palms,US,34.1356,-116.0542,20.54,20,0,0.89,clear sky
224,Bria,CF,6.5423,21.9863,23.22,17,35,2.47,scattered clouds
225,Maragogi,BR,-9.0122,-35.2225,26.35,72,98,3.55,overcast clouds
226,Ghanzi,BW,-21.5667,21.7833,20.06,86,88,5.84,moderate rain
227,Derzhavinsk,KZ,51.1,66.3167,-24.55,100,67,3.2,broken clouds
228,Flin Flon,CA,54.7682,-101.865,-4.09,58,20,3.6,few clouds
229,Minbu,MM,20.1833,94.8833,18.38,45,20,1.08,few clouds
230,Quatre Cocos,MU,-20.2078,57.7625,26.16,82,26,5.07,light rain
231,Anadyr,RU,64.75,177.4833,-34.72,75,0,4.0,clear sky
232,Vao,NC,-22.6667,167.4833,25.9,82,100,9.39,heavy intensity rain
233,Longyearbyen,SJ,78.2186,15.6401,-3.09,80,100,8.75,light snow
234,Balakliya,UA,49.4627,36.8595,-8.46,93,6,2.12,clear sky
235,Tromso,NO,69.6496,18.957,5.01,75,75,15.95,light intensity shower rain
236,Saint-Philippe,RE,-21.3585,55.7679,24.77,85,71,5.14,light rain
237,Shakhtinsk,KZ,49.71,72.5872,-16.57,95,100,4.54,overcast clouds
238,Farafangana,MG,-22.8167,47.8333,24.02,90,99,4.42,moderate rain
239,Zonguldak,TR,41.25,31.8333,-2.94,99,100,0.52,light snow
240,Arman,RU,59.7,150.1667,-28.31,85,47,4.07,scattered clouds
241,Bayeux,BR,-7.125,-34.9322,28.35,65,20,6.17,few clouds
242,Qasigiannguit,GL,68.8193,-51.1922,-21.86,81,2,2.43,clear sky
243,Fayaoue,NC,-20.65,166.5333,27.41,80,100,3.03,overcast clouds
244,Saldanha,ZA,-33.0117,17.9442,20.45,72,47,6.06,scattered clouds
245,Ust-Omchug,RU,61.15,149.6333,-42.11,99,49,1.05,scattered clouds
246,Booue,GA,-0.0921,11.9385,25.8,68,32,1.33,scattered clouds
247,Comodoro Rivadavia,AR,-45.8667,-67.5,33.92,16,0,7.72,clear sky
248,Sur,OM,22.5667,59.5289,24.58,50,3,4.81,clear sky
249,Ixtapa,MX,20.7,-105.2,23.57,64,0,3.6,clear sky
250,Kathu,TH,7.9178,98.3332,25.9,80,97,4.87,overcast clouds
251,Aksu,CN,41.1231,80.2644,-4.63,82,69,2.34,broken clouds
252,Taltal,CL,-25.4,-70.4833,22.86,71,24,2.74,few clouds
